t,ax,ay,az,gx,gy,gz
12408, 0.27, 0.07, 1.00, 2.17, -12.04, 3.64
12409, 0.31, 0.07, 0.97, 1.05, -8.05, 0.63
12410, 0.29, 0.06, 0.96, 2.45, -8.47, -0.49
12411, 0.30, 0.06, 0.97, 1.61, -7.70, -0.49
12412, 0.29, 0.05, 0.97, 4.62, -13.16, 0.49
12413, 0.31, 0.06, 0.97, 4.55, -13.09, 3.08
12414, 0.33, 0.06, 0.97, 4.13, -12.46, 1.05
12415, 0.37, 0.08, 0.98, 2.66, -4.06, -2.80
12416, 0.37, 0.10, 0.98, 4.20, 0.14, -3.22
12417, 0.34, 0.10, 0.97, 4.41, 6.16, 1.47
12418, 0.31, 0.09, 0.98, 1.12, 6.16, 3.22
12419, 0.32, 0.08, 0.97, -1.47, 7.07, 0.77
12420, 0.33, 0.06, 0.99, -1.75, 11.41, -2.80
12421, 0.32, 0.07, 0.99, -0.91, 14.70, -1.75
12422, 0.28, 0.06, 0.97, 3.71, 9.24, 0.70
12423, 0.27, 0.08, 0.97, -2.31, 12.67, 2.45
12424, 0.25, 0.10, 0.97, -2.59, 5.60, 4.13
12425, 0.25, 0.10, 0.97, -2.87, -1.33, 2.59
12426, 0.29, 0.09, 0.97, -5.04, -4.13, 0.14
12427, 0.31, 0.09, 0.98, -3.01, -0.14, -1.89
12428, 0.30, 0.08, 0.98, 0.70, 2.03, -0.77
12429, 0.28, 0.08, 0.97, 0.70, 1.89, 0.35
12430, 0.26, 0.08, 0.97, -1.33, -1.54, 1.26
12431, 0.26, 0.08, 0.98, -2.31, -5.95, 1.96
12432, 0.25, 0.05, 0.99, -2.87, -14.28, 1.54
12433, 0.29, 0.03, 0.98, -4.27, -12.95, 0.91
12434, 0.33, 0.08, 0.97, -3.64, -6.09, 3.43
12435, 0.29, 0.07, 0.98, 0.21, -5.81, 5.25
12436, 0.27, 0.05, 0.98, 0.14, -10.64, 1.68
12437, 0.31, 0.05, 0.97, 0.14, -8.26, -0.21
12438, 0.31, 0.06, 0.96, 3.71, -7.84, -0.70
12439, 0.30, 0.07, 0.97, 3.85, -8.61, 0.07
12440, 0.30, 0.06, 0.97, 6.09, -13.58, 0.70
12441, 0.32, 0.06, 0.96, 2.87, -13.58, 1.68
12442, 0.35, 0.07, 0.97, 0.77, -10.29, -1.96
12443, 0.37, 0.07, 0.98, 3.01, -6.58, -7.14
12444, 0.39, 0.10, 0.97, 1.05, 8.75, -8.12
12445, 0.35, 0.10, 0.98, 5.11, 11.20, -4.41
